"name"	"package"	"extends"	"abstract"	"backend"	"tags"	"label"	"description"	"description-de"	"label-de"	"description-en"	"label-en"	"description-es"	"label-es"	"description-fr"	"label-fr"	"description-it"	"label-it"	"description-nl"	"label-nl"	"description-pt"	"label-pt"	"description-xx"	"label-xx"
"categoricals"	"umcg"	""	"true"	""	""	"Categoricals"																	
"ontology_term"	"umcg"	""	"true"	""	""	"Ontology term"																	
"age_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Age types"																	
"biobanks"	"umcg"	""	"false"	""	""	"Groningen Data Catalogue - Biobanks"																	
"collection_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Collection types"																	
"collections"	"umcg"	""	"false"	""	""	"Groningen Data Catalogue - Collections"																	
"data_category_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Data categories"																	
"disease_types"	"umcg"	""	"false"	""	""	"Disease types"																	
"end_responsibility"	"umcg"	"umcg_ontology_term"	"false"	""	""	"End responsibility"																	
"exp_data_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Experimental data types"																	
"juristic_persons"	"umcg"	""	"false"	""	""	"Groningen Data Catalogue - Juristic persons"																	
"link_and_enrich"	"umcg"	"umcg_categoricals"	"false"	""	""	"Link and enrich"																	
"material_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Material types"																	
"multi_or_mono"	"umcg"	"umcg_categoricals"	"false"	""	""	"Multi- or Monocenter"																	
"persons"	"umcg"	""	"false"	""	""	"Groningen Data Catalogue - Persons"																	
"publications"	"umcg"	""	"false"	""	""	"Groningen Data Catalogue - Publications"																	
"sample_size_types"	"umcg"	""	"false"	""	""	"sample_size_types"																	
"sex_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Sex types"																	
"staff_size_types"	"umcg"	""	"false"	""	""	"staff_size_types"																	
"study_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Study types"																	
"subject_types"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Study subjects"																	
"way_of_collecting"	"umcg"	"umcg_categoricals"	"false"	""	""	"Way of collecting"																	
"way_of_funding"	"umcg"	"umcg_ontology_term"	"false"	""	""	"Way of funding"																	
"wmo"	"umcg"	"umcg_categoricals"	"false"	""	""	"WMO"																	
