"id"	"label"
"A_weighted_decibel"	"dB(A)"
"bpm"	"bpm"
"cm"	"cm"
"day"	"day"
"degree_celsius"	"ºC"
"µg/ml"	"µg/ml"
"gram"	"gram"
"gram/litre"	"gram/litre"
"gram/ml"	"gram/ml"
"hours_per_day"	"h/day"
"inverse_meter"	"m-1"
"kg"	"kg"
"kilojoules_per_square_meter"	"kJ / sq m"
"kJ"	"kilojoule"
"litre"	"litre"
"litres/second"	"litres/second"
"meter"	"meter"
"meter_per_square_kilometer"	"m / km2"
"metre_per_second"	"m/s"
"mg"	"milligram"
"mg/litre"	"mg/litre"
"microgram_per_milli_liter"	"µg/ml"
"micrograms_per_cubic_meter"	"microg / m3"
"mm"	"mm"
"mmHg"	"mmHg"
"mmol/litre"	"mmol/litre"
"month"	"month"
"mu/litre"	"mu/litre"
"nanograms_per_cubic_meter"	"nanog / m3"
"ndvi_value"	"ndvi value"
"ng/ml"	"ng/ml"
"number_per_square_kilometer"	"number / km2"
"people_per_square_kilometer"	"people / km2"
"percent"	"%"
"pg/ml"	"pg/ml"
"square_meter"	"m2"
"square_meter_per_square_kilometer"	"m2 / km2"
"ten_power_minus_five_per_inverse_meter"	"10-5m-1"
"ug/ml"	"µg/ml"
"unit"	"unit"
"vehicles_per_day"	"veh / day"
"vehicles_per_day_and_meter"	"veh / day m"
"week"	"week"
"year"	"year"
